gnomex_id	flowcell_id	fastq_type	fastq_filename
14806X10	FC1133	INSERT	14806X10_INSERT_180223_D00294_0376_ACBYHRANXX_S51_L008_R1_001.fastq
14806X10	FC1140	INSERT	14806X10_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X10	FC1133	OTHER	14806X10_OTHER_180223_D00294_0376_ACBYHRANXX_S51_L008_R1_001.fastq
14806X10	FC1140	OTHER	14806X10_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X10	FC1133	UMI	14806X10_UMI_180223_D00294_0376_ACBYHRANXX_S51_L008_R1_001.fastq
14806X10	FC1140	UMI	14806X10_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X11	FC1133	INSERT	14806X11_INSERT_180223_D00294_0376_ACBYHRANXX_S52_L008_R1_001.fastq
14806X11	FC1140	INSERT	14806X11_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X11	FC1133	OTHER	14806X11_OTHER_180223_D00294_0376_ACBYHRANXX_S52_L008_R1_001.fastq
14806X11	FC1140	OTHER	14806X11_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X11	FC1133	UMI	14806X11_UMI_180223_D00294_0376_ACBYHRANXX_S52_L008_R1_001.fastq
14806X11	FC1140	UMI	14806X11_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X12	FC1133	INSERT	14806X12_INSERT_180223_D00294_0376_ACBYHRANXX_S53_L008_R1_001.fastq
14806X12	FC1140	INSERT	14806X12_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X12	FC1133	OTHER	14806X12_OTHER_180223_D00294_0376_ACBYHRANXX_S53_L008_R1_001.fastq
14806X12	FC1140	OTHER	14806X12_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X12	FC1133	UMI	14806X12_UMI_180223_D00294_0376_ACBYHRANXX_S53_L008_R1_001.fastq
14806X12	FC1140	UMI	14806X12_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X13	FC1133	INSERT	14806X13_INSERT_180223_D00294_0376_ACBYHRANXX_S54_L008_R1_001.fastq
14806X13	FC1140	INSERT	14806X13_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X13	FC1133	OTHER	14806X13_OTHER_180223_D00294_0376_ACBYHRANXX_S54_L008_R1_001.fastq
14806X13	FC1140	OTHER	14806X13_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X13	FC1133	UMI	14806X13_UMI_180223_D00294_0376_ACBYHRANXX_S54_L008_R1_001.fastq
14806X13	FC1140	UMI	14806X13_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X14	FC1133	INSERT	14806X14_INSERT_180223_D00294_0376_ACBYHRANXX_S55_L008_R1_001.fastq
14806X14	FC1140	INSERT	14806X14_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X14	FC1133	OTHER	14806X14_OTHER_180223_D00294_0376_ACBYHRANXX_S55_L008_R1_001.fastq
14806X14	FC1140	OTHER	14806X14_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X14	FC1133	UMI	14806X14_UMI_180223_D00294_0376_ACBYHRANXX_S55_L008_R1_001.fastq
14806X14	FC1140	UMI	14806X14_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X15	FC1133	INSERT	14806X15_INSERT_180223_D00294_0376_ACBYHRANXX_S56_L008_R1_001.fastq
14806X15	FC1140	INSERT	14806X15_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X15	FC1133	OTHER	14806X15_OTHER_180223_D00294_0376_ACBYHRANXX_S56_L008_R1_001.fastq
14806X15	FC1140	OTHER	14806X15_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X15	FC1133	UMI	14806X15_UMI_180223_D00294_0376_ACBYHRANXX_S56_L008_R1_001.fastq
14806X15	FC1140	UMI	14806X15_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X16	FC1133	INSERT	14806X16_INSERT_180223_D00294_0376_ACBYHRANXX_S57_L008_R1_001.fastq
14806X16	FC1140	INSERT	14806X16_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X16	FC1133	OTHER	14806X16_OTHER_180223_D00294_0376_ACBYHRANXX_S57_L008_R1_001.fastq
14806X16	FC1140	OTHER	14806X16_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X16	FC1133	UMI	14806X16_UMI_180223_D00294_0376_ACBYHRANXX_S57_L008_R1_001.fastq
14806X16	FC1140	UMI	14806X16_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X17	FC1133	INSERT	14806X17_INSERT_180223_D00294_0376_ACBYHRANXX_S58_L008_R1_001.fastq
14806X17	FC1140	INSERT	14806X17_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X17	FC1133	OTHER	14806X17_OTHER_180223_D00294_0376_ACBYHRANXX_S58_L008_R1_001.fastq
14806X17	FC1140	OTHER	14806X17_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X17	FC1133	UMI	14806X17_UMI_180223_D00294_0376_ACBYHRANXX_S58_L008_R1_001.fastq
14806X17	FC1140	UMI	14806X17_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X18	FC1133	INSERT	14806X18_INSERT_180223_D00294_0376_ACBYHRANXX_S59_L008_R1_001.fastq
14806X18	FC1140	INSERT	14806X18_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X18	FC1133	OTHER	14806X18_OTHER_180223_D00294_0376_ACBYHRANXX_S59_L008_R1_001.fastq
14806X18	FC1140	OTHER	14806X18_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X18	FC1133	UMI	14806X18_UMI_180223_D00294_0376_ACBYHRANXX_S59_L008_R1_001.fastq
14806X18	FC1140	UMI	14806X18_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X19	FC1133	INSERT	14806X19_INSERT_180223_D00294_0376_ACBYHRANXX_S60_L008_R1_001.fastq
14806X19	FC1140	INSERT	14806X19_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X19	FC1133	OTHER	14806X19_OTHER_180223_D00294_0376_ACBYHRANXX_S60_L008_R1_001.fastq
14806X19	FC1140	OTHER	14806X19_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X19	FC1133	UMI	14806X19_UMI_180223_D00294_0376_ACBYHRANXX_S60_L008_R1_001.fastq
14806X19	FC1140	UMI	14806X19_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X1	FC1133	INSERT	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
14806X1	FC1140	INSERT	14806X1_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X1	FC1133	OTHER	14806X1_OTHER_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
14806X1	FC1140	OTHER	14806X1_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X1	FC1133	UMI	14806X1_UMI_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
14806X1	FC1140	UMI	14806X1_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X20	FC1133	INSERT	14806X20_INSERT_180223_D00294_0376_ACBYHRANXX_S62_L008_R1_001.fastq
14806X20	FC1140	INSERT	14806X20_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X20	FC1133	OTHER	14806X20_OTHER_180223_D00294_0376_ACBYHRANXX_S62_L008_R1_001.fastq
14806X20	FC1140	OTHER	14806X20_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X20	FC1133	UMI	14806X20_UMI_180223_D00294_0376_ACBYHRANXX_S62_L008_R1_001.fastq
14806X20	FC1140	UMI	14806X20_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X21	FC1133	INSERT	14806X21_INSERT_180223_D00294_0376_ACBYHRANXX_S63_L008_R1_001.fastq
14806X21	FC1140	INSERT	14806X21_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X21	FC1133	OTHER	14806X21_OTHER_180223_D00294_0376_ACBYHRANXX_S63_L008_R1_001.fastq
14806X21	FC1140	OTHER	14806X21_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X21	FC1133	UMI	14806X21_UMI_180223_D00294_0376_ACBYHRANXX_S63_L008_R1_001.fastq
14806X21	FC1140	UMI	14806X21_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X22	FC1133	INSERT	14806X22_INSERT_180223_D00294_0376_ACBYHRANXX_S64_L008_R1_001.fastq
14806X22	FC1140	INSERT	14806X22_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X22	FC1133	OTHER	14806X22_OTHER_180223_D00294_0376_ACBYHRANXX_S64_L008_R1_001.fastq
14806X22	FC1140	OTHER	14806X22_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X22	FC1133	UMI	14806X22_UMI_180223_D00294_0376_ACBYHRANXX_S64_L008_R1_001.fastq
14806X22	FC1140	UMI	14806X22_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X2	FC1133	INSERT	14806X2_INSERT_180223_D00294_0376_ACBYHRANXX_S61_L008_R1_001.fastq
14806X2	FC1140	INSERT	14806X2_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X2	FC1133	OTHER	14806X2_OTHER_180223_D00294_0376_ACBYHRANXX_S61_L008_R1_001.fastq
14806X2	FC1140	OTHER	14806X2_OTHER_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X2	FC1133	UMI	14806X2_UMI_180223_D00294_0376_ACBYHRANXX_S61_L008_R1_001.fastq
14806X2	FC1140	UMI	14806X2_UMI_180312_D00294_0382_BCBYHLANXX_8.fastq
14806X3	FC1133	INSERT	14806X3_INSERT_180223_D00294_0376_ACBYHRANXX_S65_L008_R1_001.fastq
14806X3	FC1140	INSERT	14806X3_INSERT_180312_D00294_0382_BCBYHLANXX_8.fastq
