gnomex_id	replicate_id	rep_time	time_point
14806X1	rep_1	1_24hpf	24hpf
14806X2	rep_1	1_36hpf	36hpf
14806X3	rep_1	1_48hpf	48hpf
14806X4	rep_1	1_60hpf	60hpf
14806X5	rep_1	1_72hpf	72hpf
14806X6	rep_2	2_24hpf	24hpf
14806X7	rep_2	2_36hpf	36hpf
14806X8	rep_2	2_48hpf	48hpf
14806X9	rep_2	2_60hpf	60hpf
14806X10	rep_2	2_72hpf	72hpf
14806X11	rep_3	3_24hpf	24hpf
14806X12	rep_3	3_36hpf	36hpf
14806X13	rep_3	3_48hpf	48hpf
14806X14	rep_3	3_60hpf	60hpf
14806X15	rep_3	3_72hpf	72hpf
14806X16	rep_4	4_24hpf	24hpf
14806X17	rep_4	4_36hpf	36hpf
14806X18	rep_4	4_48hpf	48hpf
14806X19	rep_4	4_60hpf	60hpf
14806X20	rep_4	4_72hpf	72hpf
14806X21	rep_5	5_60hpf	60hpf
14806X22	rep_5	5_72hpf	72hpf
