mirge_mir_id	count	fastq_filename
dre-let-7a	1955	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7b	48	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7c-3p/7d-3p	164	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7c-5p	599	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7d-5p	63	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7e	1050	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7f	60	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7g	256	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7h	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7i	67	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-let-7j	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-1	20741	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-100-2-3p	167	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-100-3p	99	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-100-5p	2387	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-101a	247	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-101b	67	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-103/107a-3p/107b	2754	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-107a-5p	252	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10a-3p	51	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10a-5p	932	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10b-2-3p	18	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10b-3p	58	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10b-5p	1400	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10c-3p	50	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
dre-miR-10c-5p	664	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
