mirge_mir_id	count	fastq_filename
Dre-Let-7-P10a_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P10a_5p/7-P10b_5p	256	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P10b_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P11_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P11_5p	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P12_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P12_5p	61	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P13a_3p*/7-P13b_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P13a_5p/7-P13b_5p/7-P1a_5p/7-P1b_5p/7-P6_5p/7-P7_5p	1987	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P14a_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P14a_5p	1049	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P1a_3p*	38	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P1b_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P2a_3p*/7-P2b_3p*/7-P3a_3p*/7-P3b_3p*	139	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P2a_5p/7-P2b_5p	61	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P3a_5p/7-P3b_5p	598	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P5_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P5_5p	61	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P6_3p*	17	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P7_3p*	55	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P8_3p*	18	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P8_5p	40	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P9a_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Let-7-P9a_5p	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-1-P1_3p/1-P2_3p	20750	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-1-P1_5p*	24	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-1-P2_5p*	57	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-1-P3a_3p/1-P3b_3p	2197	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-1-P3a_5p*	5	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-1-P3b_5p*	11	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1a1-v1_3p*/10-P1a1-v2_3p*	51	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1a1-v1_5p/10-P1a1-v2_5p	927	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1a2-v1_3p*/10-P1a2-v2_3p*	51	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1a2-v1_5p/10-P1a2-v2_5p	662	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1b1-v1_3p*/10-P1b1-v2_3p*	57	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1b1-v1_5p/10-P1b1-v2_5p/10-P1c-v1_5p/10-P1c-v2_5p	1431	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1b2-v1_3p*/10-P1b2-v2_3p*	13	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1b2-v1_5p/10-P1b2-v2_5p	125	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P1c-v1_3p*/10-P1c-v2_3p*	19	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P2a1_3p*	97	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P2a1_5p/10-P2a2_5p	2381	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P2a2_3p*	156	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P2b1_3p*	64	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P2b1_5p/10-P2b2_5p	993	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P2b2_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3a1_3p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3a1_5p/10-P3a2_5p	802	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3a2_3p*	18	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3b1_3p*	307	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3b1_5p/10-P3b2_5p/10-P3c2_5p	9067	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3b2_3p*	157	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3c1_3p*	217	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3c1_5p	1539	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-10-P3c2_3p*	61	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-101-P1-v1_3p/101-P1-v2_3p	217	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-101-P1-v1_5p*/101-P1-v2_5p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-101-P2-v1_3p/101-P2-v2_3p	101	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-101-P2-v1_5p*/101-P2-v2_5p*	76	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-103-P2_3p/103-P3a_3p	2487	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-103-P2_5p*	27	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-103-P3a_5p*	249	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-103-P3b_3p	269	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
Dre-Mir-103-P3b_5p*	0	14806X1_INSERT_180223_D00294_0376_ACBYHRANXX_S50_L008_R1_001.fastq
